category,dataset,resolution,frequency,coverage,period,source_organization,input_data_sources,algorithm_or_assimilation_scheme,adjusted_calibrated_with,reference,website,file_format,fig6_mean_annual_precip_global_land_mm_EST,fig10_DJF_precip_global_land_mm_EST,fig10_MAM_precip_global_land_mm_EST,fig10_JJA_precip_global_land_mm_EST,fig10_SON_precip_global_land_mm_EST,estimate_note
Gauge-based,CRU,0.5°x0.5°,Monthly,Global land,1901-2015,The CRU of the University of East Anglia,,,,"Harris et al., 2014; New et al., 2000",http://data.ceda.ac.uk/badc/cru/data/cru_ts/cru_ts_4.00/data/pre/,netCDF,705,170,110,180,220,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Gauge-based,GHCN-M,5°x5°,Monthly,Global land,1900-present,National Climatic Data Center,,,,"Peterson & Vose, 1997",http://www.ncdc.noaa.gov/temp-and-precip/ghcn-gridded-products/,netCDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Gauge-based,GPCC,"0.5°x0.5°, 1.0°x1.0°, 2.5°x2.5°",Monthly,Global land,1901-2013,GPCC,,,,"Rudolf et al., 2009",ftp://ftp.dwd.de/pub/data/gpcc/html/fulldata_v7_doi_download.html,netCDF,720,170,115,180,220,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Gauge-based,GPCC-daily,1.0°x1.0°,Daily,Global land,1988-2013,GPCC,,,,"Schamm et al., 2014",ftp://ftp.dwd.de/pub/data/gpcc/html/fulldata-daily_v1_doi_download.html,netCDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Gauge-based,PRECL,"0.5°x0.5°, 1.0°x1.0°, 2.5°x2.5°",Monthly,Global land,1948-2012.1 (0.5°); 1948-present,NCEP/NOAA,,,,"Chen et al., 2002",http://www.esrl.noaa.gov/psd/data/gridded/data.precl.html,netCDF,670,160,110,160,200,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Gauge-based,UDEL,0.5°x0.5°,Monthly,Global land,1900-2014,University of Delaware,,,,"Willmott & Matsuura, 1995",http://climate.geog.udel.edu/~climate/html_pages/download.html#P2011rev,netCDF,680,160,110,160,195,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Gauge-based,CPC-Global (1979-2005),0.5°x0.5°,Daily,Global land,1979-2005,CPC,,,,"Xie et al., 2010",http://ftp.cpc.ncep.noaa.gov/precip/CPC_UNI_PRCP/GAUGE_GLB/V1.0/,Binary,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,GPCP,2.5°,Monthly,Global,1979-present,,"GPI, OPI, SSM/I scattering, SSM/I emission, TOVS",,"GPCC, GHCN","Adler et al., 2003",http://www.esrl.noaa.gov/psd/data/gridded/data.gpcp.html,netCDF,630,175,120,180,215,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Satellite-related,GPCP 1dd,1.0°,Daily,Global,1996-present,,"SSM/I-TMPI, TOVS",,"GPCC, GHCN","Huffman & Bolvin, 2013",ftp://meso.gsfc.nasa.gov/pub/1dd-v1.2/,Binary,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,GPCP_PEN_v2.2,2.5°,5-daily,Global,1979-2014,,"OPI, SSM/I, GPI, MSU",,"GPCC, GHCN","Xie et al., 2003",ftp://ftp.cpc.ncep.noaa.gov/precip/GPCP_PEN,netCDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
