trend_id,source_citation,et_product,product_category,period_start,period_end,trend_value,trend_unit,significance_marker,significance_p_threshold
yuting2023_bess,"Yuting et al., 2023",BESS,TBD,1982,2016,0.12,mm_yr-2,,
yuting2023_camele,"Yuting et al., 2023",CAMELE,TBD,1982,2020,0.89,mm_yr-2,**,0.01
yuting2023_gleam,"Yuting et al., 2023",GLEAM,remote_sensing,1982,2020,0.92,mm_yr-2,**,0.01
yuting2023_mte,"Yuting et al., 2023",MTE,machine_learning,1982,2011,0.28,mm_yr-2,**,0.01
yuting2023_plsh,"Yuting et al., 2023",P-LSH,remote_sensing,1982,2013,1.03,mm_yr-2,**,0.01
yuting2023_pmlavhrr,"Yuting et al., 2023",PML-AVHRR,remote_sensing,1982,2012,0.38,mm_yr-2,*,0.05
yuting2023_mod16,"Yuting et al., 2023",MOD16,remote_sensing,2001,2020,1.25,mm_yr-2,*,0.05
yuting2023_pmlmodis,"Yuting et al., 2023",PML-MODIS,remote_sensing,2001,2020,1.67,mm_yr-2,**,0.01
pan2020_mte,"Pan et al., 2020",MTE,machine_learning,1982,2011,0.38,mm_yr-2,*,0.05
pan2020_plsh,"Pan et al., 2020",P-LSH,remote_sensing,1982,2011,1.07,mm_yr-2,*,0.05
pan2020_gleam,"Pan et al., 2020",GLEAM,remote_sensing,1982,2011,0.33,mm_yr-2,*,0.05
pan2020_pmlcsiro,"Pan et al., 2020",PML-CSIRO,remote_sensing,1982,2011,0.41,mm_yr-2,*,0.05
pan2020_cable,"Pan et al., 2020",CABLE,land_surface_model,1982,2011,0.07,mm_yr-2,,
pan2020_classctem,"Pan et al., 2020",CLASS-CTEM,land_surface_model,1982,2011,0.35,mm_yr-2,*,0.05
pan2020_clm45,"Pan et al., 2020",CLM45,land_surface_model,1982,2011,0.38,mm_yr-2,*,0.05
pan2020_dlem,"Pan et al., 2020",DLEM,land_surface_model,1982,2011,0.26,mm_yr-2,*,0.05
pan2020_isam,"Pan et al., 2020",ISAM,land_surface_model,1982,2011,0.22,mm_yr-2,,
pan2020_jsbach,"Pan et al., 2020",JSBACH,land_surface_model,1982,2011,-0.05,mm_yr-2,,
pan2020_jules,"Pan et al., 2020",JULES,land_surface_model,1982,2011,-0.02,mm_yr-2,,
pan2020_lpjguess,"Pan et al., 2020",LPJ-GUESS,land_surface_model,1982,2011,0.50,mm_yr-2,*,0.05
pan2020_lpjwsl,"Pan et al., 2020",LPJ-wsl,land_surface_model,1982,2011,0.24,mm_yr-2,*,0.05
pan2020_lpxbern,"Pan et al., 2020",LPX-Bern,land_surface_model,1982,2011,0.20,mm_yr-2,*,0.05
pan2020_ocn,"Pan et al., 2020",O-CN,land_surface_model,1982,2011,0.32,mm_yr-2,*,0.05
pan2020_orchidee,"Pan et al., 2020",ORCHIDEE,land_surface_model,1982,2011,-0.17,mm_yr-2,,
pan2020_orchideemict,"Pan et al., 2020",ORCHIDEE-MICT,land_surface_model,1982,2011,-0.34,mm_yr-2,*,0.05
pan2020_visit,"Pan et al., 2020",VISIT,land_surface_model,1982,2011,0.87,mm_yr-2,*,0.05
zeng2018_jun10,"Zeng et al., 2018",JUN10,machine_learning,1982,2011,0.33,mm_yr-2,***,0.01
zeng2018_zen14,"Zeng et al., 2018",ZEN14,machine_learning,1982,2011,1.70,mm_yr-2,***,0.01
zeng2018_zha16,"Zeng et al., 2018",ZHA16,remote_sensing,1982,2011,0.40,mm_yr-2,**,0.05
