obs_id,site_id,site_match_confidence,meta_source,study_citation,location_name,lat,lon,country_continent,koppen_geiger,whittaker_biome,climate_class_paperdefined,forest_change_metric,forest_change_submetric,forest_change_value_type,forest_change_value_point,forest_change_value_min,forest_change_value_max,forest_change_value_sd,forest_change_unit,hydro_response_metric,hydro_response_value_type,hydro_response_value_point,hydro_response_value_min,hydro_response_value_max,hydro_response_value_sd,hydro_response_unit,method_analysis,method_forest_change_measurement,method_hydro_response_measurement,watershed_area_km2,precip_mm_yr,spatial_scale,notes_flags,figure_table_source
yang2023_001,,,"Yang et al., 2023","Bosch and Hewlett, 1982","Alum Creek, #2",38.3,-81.8,North America,Cfa,Temperate seasonal forest,,forest_cover_change,,point,-45.0,,,,%,ET,point,-9.1,,,,%,PWE,% cover change (source study),catchment water balance,0.01,1330,,,Table S5
yang2023_002,,,"Yang et al., 2023","Bosch and Hewlett, 1982","Alum Creek, #3",38.3,-81.8,North America,Cfa,Temperate seasonal forest,,forest_cover_change,,point,-100.0,,,,%,ET,point,-19.2,,,,%,PWE,% cover change (source study),catchment water balance,0.01,1330,,,Table S5
yang2023_003,site_araguaia_river,exact,"Yang et al., 2023","Coe et al., 2011",Araguaia River,-15.0,-51.0,South America,Aw,Tropical seasonal forest/savanna,,forest_cover_change,,point,-27.0,,,,%,ET,point,-4.0,,,,%,HM,% cover change (source study),catchment water balance,82632.0,1730,,"possible cross-review match to Zhang et al. 2017 watershed(s) #2 by name - confidence=exact, not manually verified as same sub-watershed",Table S5
yang2023_004,site_b_berem_1,exact,"Yang et al., 2023","Bruijnzeel, 1990",B. Berem 1,4.3,101.4,Asia,Af,Tropical rain forest,,forest_cover_change,,point,-40.0,,,,%,ET,point,-9.9,,,,%,PWE,% cover change (source study),catchment water balance,0.13,1900,,"possible cross-review match to Zhang et al. 2017 watershed(s) #68 by name - confidence=exact, not manually verified as same sub-watershed",Table S5
yang2023_005,site_b_berem_2,exact,"Yang et al., 2023","Bruijnzeel, 1990",B. Berem 2,4.3,101.4,Asia,Af,Tropical rain forest,,forest_cover_change,,point,-33.0,,,,%,ET,point,-5.1,,,,%,PWE,% cover change (source study),catchment water balance,0.31,1900,,"possible cross-review match to Zhang et al. 2017 watershed(s) #69 by name - confidence=exact, not manually verified as same sub-watershed",Table S5
yang2023_006,site_b_kirkton,exact,"Yang et al., 2023","Blackie, 1993",B. Kirkton,55.1,-3.6,Europe,Cfb,Temperate seasonal forest,,forest_cover_change,,point,-20.0,,,,%,ET,point,-45.6,,,,%,PWE,% cover change (source study),catchment water balance,6.85,2354,,"possible cross-review match to Zhang et al. 2017 watershed(s) #70 by name - confidence=exact, not manually verified as same sub-watershed",Table S5
yang2023_007,site_b_monac,exact,"Yang et al., 2023","Blackie, 1993",B. Monac,56.4,-4.4,Europe,Cfb,Temperate seasonal forest,,forest_cover_change,,point,14.0,,,,%,ET,point,6.9,,,,%,PWE,% cover change (source study),catchment water balance,7.7,2770,,"possible cross-review match to Zhang et al. 2017 watershed(s) #71 by name - confidence=exact, not manually verified as same sub-watershed",Table S5
yang2023_008,site_bauta,exact,"Yang et al., 2023","Beck et al., 2013",Bauta,18.2,-66.5,North America,Af,Tropical rain forest,,forest_cover_change,,point,10.2,,,,%,ET,point,9.7,,,,%,HM,% cover change (source study),catchment water balance,43.5,2038,,"possible cross-review match to Zhang et al. 2017 watershed(s) #73 by name - confidence=exact, not manually verified as same sub-watershed",Table S5
yang2023_009,site_be_river_catchment,exact,"Yang et al., 2023","Nguyen Khoi and Suetsugi, 2014",Be River catchment,11.8,107.0,Asia,Aw,Tropical seasonal forest/savanna,,forest_cover_change,,point,-16.3,,,,%,ET,point,-0.3,,,,%,HM,% cover change (source study),catchment water balance,7500.0,2400,,"possible cross-review match to Zhang et al. 2017 watershed(s) #4 by name - confidence=exact, not manually verified as same sub-watershed",Table S5
yang2023_010,,,"Yang et al., 2023","Hibbert, 1979","Beaver Creek, #3-1",39.6,-106.5,North America,Dfc,Boreal forest,,forest_cover_change,,point,-83.0,,,,%,ET,point,-6.8,,,,%,PWE,% cover change (source study),catchment water balance,1.46,457,,,Table S5
