citation,hint
"R. A. Fisher et al., 2008","rain forest soil water controls"
"Hasler and Avissar, 2007","Amazon basin evapotranspiration controls"
"Giambelluca et al., 2009b","Hawaii montane cloud forest energy balance"
"Tanaka et al., 2008","Thailand evapotranspiration tropical forest review"
"Du et al., 2011","Loess Plateau sap flow semiarid forest"
"Gazal et al., 2006","riparian cottonwood transpiration semiarid"
"Si et al., 2007","Populus euphratica desert riparian sap flow"
"Chang et al., 2006","shelter-belt arid China sap flow conductance"
"Granier et al., 2007","European forests 2003 drought soil water"
"Kochendorfer et al., 2011","riparian forest net ecosystem exchange canopy conductance"
"Wilson and Baldocchi, 2000","broadleaved deciduous forest energy fluxes"
"Kosugi et al., 2007","Japanese cypress forest evapotranspiration eddy covariance"
"Jassal et al., 2009","Douglas fir water use efficiency"
"Migliavacca et al., 2009","poplar plantation carbon water fluxes"
"Ohta et al., 2008","eastern Siberian larch forest water balance"
"Maximov et al., 2008","East Siberian forest water energy exchange synthesis"
"Bernier et al., 2006","aspen jack pine drought transpiration canopy conductance"
"McCaughey et al., 2006","boreal mixedwood forest carbon dioxide energy fluxes"
"Saugier et al., 1997","boreal pine forest transpiration sap flow branch bag"
"Kelliher et al., 1997","eastern Siberian larch forest evaporation"
"Betts et al., 1999","boreal spruce forest evaporation controls"
"Hogg and Hurdle, 1997","trembling aspen sap flow vapor pressure deficit"
"Pejam et al., 2006","mixedwood boreal forest energy water vapour exchange"
"Bucci et al., 2008","neotropical savanna tree density transpiration"
"Scott et al., 2004","riparian woodland carbon water fluxes"
"Leuning et al., 2005","Eucalyptus savanna carbon water fluxes MODIS"
"David et al., 2004","evergreen oak transpiration Portugal"
"Tognetti et al., 2009","olive tree plantation stomatal control drought"
"Guo et al., 2006","desert steppe evapotranspiration LAI soil moisture"
"Alfieri et al., 2007","grazed rangeland evapotranspiration drought"
"Chen et al., 2009","Inner Mongolia steppe energy balance land use"
"Miao et al., 2009","Inner Mongolia steppe grazing evapotranspiration"
"Hu et al., 2009","Tibetan Plateau grassland evapotranspiration partitioning"
"Aires et al., 2008","Mediterranean C3 C4 grassland drought energy water vapour"
"Jongen et al., 2011","Mediterranean grassland ecosystem atmosphere exchange"
"Burba and Verma, 2005","tallgrass prairie wheat evapotranspiration"
"Zha et al., 2010","western Canada grassland forest drought evapotranspiration"
"Ivans et al., 2006","semiarid lands water vapor CO2 flux precipitation pulses"
"San Jose et al., 2007","pineapple field carbon dioxide water vapour energy fluxes"
"Suyker and Verma, 2010","irrigated maize soybean evapotranspiration water productivity"
"Suyker and Verma, 2008","irrigated maize LAI energy exchange"
"Admiral et al., 2006","Canada peat bog latent heat flux energy partitioning"
"Parmentier et al., 2009","peatland Netherlands CO2 flux evaporation water table"
"Sottocornola and Kiely, 2010","Atlantic blanket bog energy fluxes evaporation"
"Sun and Song, 2008","freshwater marsh evapotranspiration Sanjiang Plain"
