citation,match_title,match_doi,match_year,match_score,abstract_found,method_category,method_detail,matched_keyword,confidence_note
"R. A. Fisher et al., 2008",Evaluating climatic and soil water controls on evapotranspiration at two Amazonian rainforest sites,10.1016/j.agrformet.2007.12.001,2008,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Hasler and Avissar, 2007",What Controls Evapotranspiration in the Amazon Basin?,10.1175/jhm587.1,2007,1,Yes,Field/Statistical,Eddy covariance,eddy covariance,LOW CONFIDENCE -- verify author/year match manually
"Giambelluca et al., 2009b",Evapotranspiration and energy balance of native wet montane cloud forest in Hawai‘i,10.1016/j.agrformet.2008.08.004,2009,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Tanaka et al., 2008",A review of evapotranspiration estimates from tropical forests in Thailand and adjacent regions,10.1016/j.agrformet.2008.01.011,2008,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Du et al., 2011",Sapflow characteristics and climatic responses in three forest species in the semiarid Loess Plateau region of China,10.1016/j.agrformet.2010.08.011,2011,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Gazal et al., 2006",Controls on transpiration in a semiarid riparian cottonwood forest,10.1016/j.agrformet.2006.03.002,2006,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Si et al., 2007",Sap Flow of <i>Populus euphratica</i> in a Desert Riparian Forest in an Extreme Arid Region During the Growing Season,10.1111/j.1744-7909.2007.00388.x,2007,2,Yes,Field/Statistical,Sap flow,sap flow,
"Chang et al., 2006",Sap flow and tree conductance of shelter-belt in arid region of China,10.1016/j.agrformet.2006.04.003,2006,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Granier et al., 2007","Deciduous Forests: Carbon and Water Fluxes, Balances and Ecophysiological Determinants",10.1007/978-3-662-05171-9_4,2003,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Kochendorfer et al., 2011","Net ecosystem exchange, evapotranspiration and canopy conductance in a riparian forest",10.1016/j.agrformet.2010.12.012,2011,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Wilson and Baldocchi, 2000",Seasonal and interannual variability of energy fluxes over a broadleaved temperate deciduous forest in North America,10.1016/s0168-1923(99)00088-x,2000,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Kosugi et al., 2007",Evapotranspiration over a Japanese cypress forest. II. Comparison of the eddy covariance and water budget methods,10.1016/j.jhydrol.2006.05.025,2007,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Jassal et al., 2009",Evapotranspiration and water use efficiency in different-aged Pacific Northwest Douglas-fir stands,10.1016/j.agrformet.2009.02.004,2009,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Migliavacca et al., 2009",Seasonal and interannual patterns of carbon and water fluxes of a poplar plantation under peculiar eco-climatic conditions,10.1016/j.agrformet.2009.04.003,2009,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Ohta et al., 2008",Interannual variation of water balance and summer evapotranspiration in an eastern Siberian larch forest over a 7-year period (1998–2006),10.1016/j.agrformet.2008.04.012,2008,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Maximov et al., 2008",Water and energy exchange in East Siberian forest: A synthesis,10.1016/j.agrformet.2008.10.004,2008,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Bernier et al., 2006",Drought constraints on transpiration and canopy conductance in mature aspen and jack pine stands,10.1016/j.agrformet.2006.03.019,2006,2,No,,,,No abstract available from Crossref (check publisher site directly)
"McCaughey et al., 2006","Carbon dioxide and energy fluxes from a boreal mixedwood forest ecosystem in Ontario, Canada",10.1016/j.agrformet.2006.08.010,2006,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Saugier et al., 1997","Transpiration of a boreal pine forest measured by branch bag, sap flow and micrometeorological methods",10.1093/treephys/17.8-9.511,1997,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Kelliher et al., 1997",Evaporation from an eastern Siberian larch forest,10.1016/s0168-1923(96)02424-0,1997,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Betts et al., 1999",Controls on Evaporation in a Boreal Spruce Forest,10.1175/1520-0442(1999)012<1601:coeiab>2.0.co;2,1999,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Hogg and Hurdle, 1997",Sap flow in trembling aspen: implications for stomatal responses to vapor pressure deficit,10.1093/treephys/17.8-9.501,1997,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Pejam et al., 2006","Energy and water vapour exchanges over a mixedwood boreal forest in Ontario, Canada",10.1002/hyp.6384,2006,2,Yes,Field/Statistical,Eddy covariance,eddy covariance,
"Bucci et al., 2008",Controls on stand transpiration and soil water utilization along a tree density gradient in a Neotropical savanna,10.1016/j.agrformet.2007.11.013,2008,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Scott et al., 2004",Interannual and seasonal variation in fluxes of water and carbon dioxide from a riparian woodland ecosystem,10.1016/j.agrformet.2003.09.001,2004,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Leuning et al., 2005",Carbon and water fluxes over a temperate Eucalyptus forest and a tropical wet/dry savanna in Australia: measurements and comparison with MODIS remote sensing estimates,10.1016/j.agrformet.2004.12.004,2005,2,No,,,,No abstract available from Crossref (check publisher site directly)
"David et al., 2004",Constraints on transpiration from an evergreen oak tree in southern Portugal,10.1016/j.agrformet.2003.09.014,2004,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Tognetti et al., 2009",Assessing environmental controls over conductances through the soil–plant–atmosphere continuum in an experimental olive tree plantation of southern Italy,10.1016/j.agrformet.2009.02.008,2009,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Guo et al., 2006","Excellent innovative study - freeing the PDSI from potential evapotranspiration by using directly simulated evapotranspiration, runoff, and soil moisture",10.5194/hess-2019-701-rc3,2020,0,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Alfieri et al., 2007",Variability in the Environmental Factors Driving Evapotranspiration from a Grazed Rangeland during Severe Drought Conditions,10.1175/jhm569.1,2007,2,Yes,,,,
"Chen et al., 2009",Energy balance and partition in Inner Mongolia steppe ecosystems with different land use types,10.1016/j.agrformet.2009.06.009,2009,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Miao et al., 2009",Cultivation and grazing altered evapotranspiration and dynamics in Inner Mongolia steppes,10.1016/j.agrformet.2009.06.011,2009,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Hu et al., 2009",Modelling evapotranspiration in an alpine grassland ecosystem on Qinghai-Tibetan plateau,10.1002/hyp.9597,2014,0,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Aires et al., 2008",The effect of drought on energy and water vapour exchange above a mediterranean C3/C4 grassland in Southern Portugal,10.1016/j.agrformet.2007.11.001,2008,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Jongen et al., 2011",The effects of drought and timing of precipitation on the inter-annual variation in ecosystem-atmosphere exchange in a Mediterranean grassland,10.1016/j.agrformet.2011.01.008,2011,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Burba and Verma, 2005",Seasonal and interannual variability in evapotranspiration of native tallgrass prairie and cultivated wheat ecosystems,10.1016/j.agrformet.2005.11.017,2005,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Zha et al., 2010",Interannual variation of evapotranspiration from forest and grassland ecosystems in western canada in relation to drought,10.1016/j.agrformet.2010.08.003,2010,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Ivans et al., 2006",Response of Water Vapor and CO2 Fluxes in Semiarid Lands to Seasonal and Intermittent Precipitation Pulses,10.1175/jhm545.1,2006,2,Yes,Field/Statistical,Eddy covariance,eddy covariance,
"San Jose et al., 2007","Diurnal patterns of carbon dioxide, water vapour, and energy fluxes in pineapple [Ananas comosus (L.) Merr. cv. Red Spanish] field using eddy covariance",10.1007/s11099-007-0064-7,2007,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Suyker and Verma, 2010",Coupling of carbon dioxide and water vapor exchanges of irrigated and rainfed maize–soybean cropping systems and water productivity,10.1016/j.agrformet.2010.01.020,2010,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Suyker and Verma, 2008",Interannual water vapor and energy exchange in an irrigated maize-based agroecosystem,10.1016/j.agrformet.2007.10.005,2008,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
"Admiral et al., 2006",Controls on latent heat flux and energy partitioning at a peat bog in eastern Canada,10.1016/j.agrformet.2006.03.017,2006,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Parmentier et al., 2009",CO2 fluxes and evaporation on a peatland in the Netherlands appear not affected by water table fluctuations,10.1016/j.agrformet.2008.11.007,2009,2,No,,,,No abstract available from Crossref (check publisher site directly)
"Sottocornola and Kiely, 2010",Energy fluxes and evaporation mechanisms in an Atlantic blanket bog in southwestern Ireland,10.1029/2010wr009078,2010,1,Yes,,,,LOW CONFIDENCE -- verify author/year match manually
"Sun and Song, 2008","Evapotranspiration from a freshwater marsh in the Sanjiang Plain, Northeast China",10.1016/j.jhydrol.2008.01.010,2008,1,No,,,,LOW CONFIDENCE -- verify author/year match manually | No abstract available from Crossref (check publisher site directly)
